==============================================================================
전략 고정번호 적중 목록 — 21~1235회 (맞은 것만)
==============================================================================
각 회차 직전 20회 데이터로 고정번호 후보를 재현하고, 그 회차 실제 당첨번호와 대조
🎲합계정밀·🤫분배회피는 고정번호가 없는 전략이라 대상에서 제외

    회차 |     날짜     |     맞은 번호 | 그 번호를 집은 전략
  1202 | 2025-12-13 |        40 | ✨최약끝수
  1201 | 2025-12-06 |         7 | 🎯보너스추적
  1200 | 2025-11-29 |         2 | ✨최약끝수
  1200 | 2025-11-29 |        16 | 🔁이월수
  1200 | 2025-11-29 |        32 | 🔁이월수, ✨최약끝수
  1199 | 2025-11-22 |        16 | 🔄휴식회귀
  1199 | 2025-11-22 |        30 | 🎯보너스추적, 🔁이월수
  1199 | 2025-11-22 |        32 | ✨최약끝수
  1198 | 2025-11-15 |        26 | 🔁이월수
  1198 | 2025-11-15 |        30 | 🎯보너스추적, 🚀미출현폭탄
  1196 | 2025-11-01 |        12 | ✨최약끝수
  1196 | 2025-11-01 |        15 | 🔁이월수
  1195 | 2025-10-25 |         3 | 🔁이월수
  1195 | 2025-10-25 |        15 | 🔁이월수
  1195 | 2025-10-25 |        33 | 🔁이월수
  1195 | 2025-10-25 |        34 | 🚀미출현폭탄, 🔄휴식회귀
  1194 | 2025-10-18 |         3 | 🔄휴식회귀
  1194 | 2025-10-18 |        24 | 🔁이월수
  1194 | 2025-10-18 |        37 | 🔄휴식회귀
  1193 | 2025-10-11 |         6 | 🔄휴식회귀
  1193 | 2025-10-11 |        16 | 🔁이월수
  1192 | 2025-10-04 |        10 | ✨최약끝수
  1192 | 2025-10-04 |        16 | 🔄휴식회귀
  1192 | 2025-10-04 |        40 | ✨최약끝수
  1191 | 2025-09-27 |        11 | 🔄휴식회귀
  1191 | 2025-09-27 |        20 | ✨최약끝수
  1190 | 2025-09-20 |         7 | 🔄휴식회귀
  1190 | 2025-09-20 |         9 | 🎯보너스추적, 🔁이월수
  1190 | 2025-09-20 |        19 | 🔁이월수
  1190 | 2025-09-20 |        45 | 🚀미출현폭탄
  1189 | 2025-09-13 |         9 | 🎯보너스추적, ✨최약끝수
  1189 | 2025-09-13 |        19 | 🔁이월수, ✨최약끝수
  1189 | 2025-09-13 |        29 | ✨최약끝수
  1189 | 2025-09-13 |        35 | 🎯보너스추적
  1188 | 2025-09-06 |         3 | 🔄휴식회귀
  1188 | 2025-09-06 |        19 | ✨최약끝수
  1187 | 2025-08-30 |        13 | 🔁이월수
  1187 | 2025-08-30 |        29 | ✨최약끝수
  1186 | 2025-08-23 |         2 | 🚀미출현폭탄
  1186 | 2025-08-23 |        28 | 🔁이월수
  1185 | 2025-08-16 |         6 | 🔄휴식회귀
  1185 | 2025-08-16 |        22 | 🎯보너스추적, 🚀미출현폭탄, ✨최약끝수
  1185 | 2025-08-16 |        32 | ✨최약끝수
  1184 | 2025-08-09 |        23 | 🔁이월수
  1184 | 2025-08-09 |        31 | 🎯보너스추적
  1182 | 2025-07-26 |         1 | 🚀미출현폭탄
  1182 | 2025-07-26 |        21 | 🎯보너스추적
  1182 | 2025-07-26 |        28 | 🎯보너스추적
  1181 | 2025-07-19 |        10 | 🚀미출현폭탄, ✨최약끝수
  1181 | 2025-07-19 |        20 | ✨최약끝수
  1181 | 2025-07-19 |        41 | 🔁이월수
  1180 | 2025-07-12 |        18 | 🔁이월수
  1180 | 2025-07-12 |        40 | 🔁이월수, ✨최약끝수
  1180 | 2025-07-12 |        41 | 🚀미출현폭탄
  1179 | 2025-07-05 |        24 | 🔄휴식회귀
  1179 | 2025-07-05 |        40 | ✨최약끝수
  1179 | 2025-07-05 |        44 | 🔁이월수
  1178 | 2025-06-28 |        43 | 🔁이월수
  1177 | 2025-06-21 |         7 | 🔁이월수
  1177 | 2025-06-21 |        16 | ✨최약끝수
  1177 | 2025-06-21 |        19 | 🚀미출현폭탄
  1175 | 2025-06-07 |         3 | 🎯보너스추적
  1175 | 2025-06-07 |         4 | 🚀미출현폭탄
  1175 | 2025-06-07 |         6 | ✨최약끝수
  1175 | 2025-06-07 |         8 | 🔁이월수
  1174 | 2025-05-31 |        11 | ✨최약끝수
  1174 | 2025-05-31 |        39 | 🔄휴식회귀
  1173 | 2025-05-24 |         1 | 🚀미출현폭탄, ✨최약끝수
  1172 | 2025-05-17 |         7 | 🔁이월수
  1172 | 2025-05-17 |        40 | ✨최약끝수
  1171 | 2025-05-10 |         3 | 🔁이월수
  1171 | 2025-05-10 |        11 | 🚀미출현폭탄, ✨최약끝수
  1170 | 2025-05-03 |        38 | 🔄휴식회귀
  1170 | 2025-05-03 |        42 | 🔁이월수
  1169 | 2025-04-26 |        24 | 🎯보너스추적, 🔁이월수, ✨최약끝수
  1168 | 2025-04-19 |         9 | 🔄휴식회귀
  1168 | 2025-04-19 |        24 | 🎯보너스추적, ✨최약끝수
  1167 | 2025-04-12 |        23 | 🔁이월수
  1167 | 2025-04-12 |        40 | 🚀미출현폭탄, ✨최약끝수
  1166 | 2025-04-05 |        14 | 🚀미출현폭탄, ✨최약끝수
  1166 | 2025-04-05 |        27 | 🔁이월수
  1166 | 2025-04-05 |        29 | 🔁이월수
  1165 | 2025-03-29 |         6 | 🎯보너스추적
  1165 | 2025-03-29 |        27 | 🔄휴식회귀
  1165 | 2025-03-29 |        38 | 🔁이월수
  1164 | 2025-03-22 |        23 | 🚀미출현폭탄
  1163 | 2025-03-15 |        15 | 🔄휴식회귀
  1162 | 2025-03-08 |        20 | 🔁이월수, ✨최약끝수
  1161 | 2025-03-01 |        20 | 🎯보너스추적
  1161 | 2025-03-01 |        24 | ✨최약끝수
  1161 | 2025-03-01 |        34 | ✨최약끝수
  1161 | 2025-03-01 |        42 | 🚀미출현폭탄
  1160 | 2025-02-22 |         7 | 🎯보너스추적
  1160 | 2025-02-22 |        39 | 🔁이월수
  1159 | 2025-02-15 |         3 | ✨최약끝수
  1159 | 2025-02-15 |        27 | 🔁이월수
  1159 | 2025-02-15 |        28 | 🎯보너스추적
  1159 | 2025-02-15 |        38 | 🔁이월수
  1158 | 2025-02-08 |        25 | 🔁이월수
  1157 | 2025-02-01 |         7 | 🎯보너스추적
  1157 | 2025-02-01 |        12 | 🔄휴식회귀
  1157 | 2025-02-01 |        25 | 🚀미출현폭탄
  1155 | 2025-01-18 |        10 | ✨최약끝수
  1155 | 2025-01-18 |        19 | 🔄휴식회귀
  1155 | 2025-01-18 |        27 | 🎯보너스추적
  1155 | 2025-01-18 |        38 | 🔁이월수
  1154 | 2025-01-11 |         8 | 🎯보너스추적, ✨최약끝수
  1154 | 2025-01-11 |        38 | ✨최약끝수
  1153 | 2025-01-04 |        10 | ✨최약끝수
  1153 | 2025-01-04 |        35 | 🔁이월수
  1152 | 2024-12-28 |        30 | ✨최약끝수
  1151 | 2024-12-21 |         9 | 🔁이월수
  1150 | 2024-12-14 |         8 | 🔁이월수
  1150 | 2024-12-14 |        18 | 🚀미출현폭탄
  1150 | 2024-12-14 |        39 | 🚀미출현폭탄
  1149 | 2024-12-07 |        15 | 🔁이월수
  1149 | 2024-12-07 |        32 | 🎯보너스추적, 🚀미출현폭탄
  1148 | 2024-11-30 |         6 | 🎯보너스추적
  1147 | 2024-11-23 |         7 | 🔄휴식회귀
  1147 | 2024-11-23 |        11 | 🔁이월수
  1146 | 2024-11-16 |         6 | 🎯보너스추적
  1146 | 2024-11-16 |        11 | 🔁이월수
  1146 | 2024-11-16 |        19 | 🔄휴식회귀
  1145 | 2024-11-09 |         2 | ✨최약끝수
  1145 | 2024-11-09 |        33 | 🔄휴식회귀
  1144 | 2024-11-02 |        12 | ✨최약끝수
  1144 | 2024-11-02 |        34 | 🔄휴식회귀
  1143 | 2024-10-26 |        28 | 🔁이월수
  1142 | 2024-10-19 |         2 | ✨최약끝수
  1142 | 2024-10-19 |        28 | 🔄휴식회귀
  1141 | 2024-10-12 |         7 | 🔁이월수
  1141 | 2024-10-12 |        12 | ✨최약끝수
  1141 | 2024-10-12 |        21 | 🔄휴식회귀
  1141 | 2024-10-12 |        26 | 🚀미출현폭탄
  1141 | 2024-10-12 |        35 | 🎯보너스추적
  1140 | 2024-10-05 |        22 | 🚀미출현폭탄, ✨최약끝수
  1139 | 2024-09-28 |        12 | ✨최약끝수
  1138 | 2024-09-21 |        14 | 🔄휴식회귀
  1138 | 2024-09-21 |        34 | 🔄휴식회귀
  1137 | 2024-09-14 |         4 | 🎯보너스추적
  1137 | 2024-09-14 |        12 | ✨최약끝수
  1137 | 2024-09-14 |        33 | 🔁이월수
  1136 | 2024-09-07 |        21 | 🔁이월수
  1136 | 2024-09-07 |        33 | 🔁이월수
  1136 | 2024-09-07 |        42 | ✨최약끝수
  1135 | 2024-08-31 |        13 | 🔁이월수
  1135 | 2024-08-31 |        19 | 🔁이월수
  1135 | 2024-08-31 |        33 | 🎯보너스추적
  1134 | 2024-08-24 |        13 | 🔁이월수
  1133 | 2024-08-17 |        13 | 🔄휴식회귀
  1133 | 2024-08-17 |        28 | 🔁이월수
  1133 | 2024-08-17 |        29 | 🚀미출현폭탄
  1133 | 2024-08-17 |        34 | 🔁이월수
  1132 | 2024-08-10 |         6 | 🔁이월수
  1132 | 2024-08-10 |        19 | ✨최약끝수
  1131 | 2024-08-03 |        27 | 🔁이월수, ✨최약끝수
  1130 | 2024-07-27 |        19 | ✨최약끝수
  1130 | 2024-07-27 |        27 | 🚀미출현폭탄
  1130 | 2024-07-27 |        28 | 🔁이월수
  1129 | 2024-07-20 |         5 | 🔁이월수
  1129 | 2024-07-20 |        17 | ✨최약끝수
  1129 | 2024-07-20 |        28 | 🔁이월수
  1128 | 2024-07-13 |         8 | ✨최약끝수
  1128 | 2024-07-13 |        16 | 🔄휴식회귀
  1128 | 2024-07-13 |        28 | 🚀미출현폭탄, ✨최약끝수
  1127 | 2024-07-06 |        30 | 🎯보너스추적
  1127 | 2024-07-06 |        31 | 🔄휴식회귀
  1127 | 2024-07-06 |        37 | 🔁이월수
  1126 | 2024-06-29 |         5 | 🚀미출현폭탄
  1126 | 2024-06-29 |        40 | 🔁이월수
  1125 | 2024-06-22 |        33 | 🔁이월수
  1124 | 2024-06-15 |         8 | 🎯보너스추적, 🚀미출현폭탄, ✨최약끝수
  1124 | 2024-06-15 |        34 | 🔁이월수
  1123 | 2024-06-08 |        21 | 🔁이월수
  1123 | 2024-06-08 |        34 | 🎯보너스추적, 🔁이월수
  1123 | 2024-06-08 |        35 | 🔁이월수
  1122 | 2024-06-01 |         3 | 🎯보너스추적, 🔄휴식회귀
  1122 | 2024-06-01 |         6 | 🔁이월수
  1122 | 2024-06-01 |        30 | 🔄휴식회귀
  1122 | 2024-06-01 |        34 | 🎯보너스추적
  1121 | 2024-05-25 |        31 | 🔁이월수
  1121 | 2024-05-25 |        38 | 🔁이월수, ✨최약끝수
  1121 | 2024-05-25 |        44 | 🔄휴식회귀
  1120 | 2024-05-18 |         2 | 🚀미출현폭탄
  1120 | 2024-05-18 |        26 | 🔄휴식회귀
  1120 | 2024-05-18 |        38 | ✨최약끝수
  1119 | 2024-05-11 |        13 | 🔁이월수
  1119 | 2024-05-11 |        20 | 🔄휴식회귀
  1119 | 2024-05-11 |        45 | 🔁이월수
  1118 | 2024-05-04 |        13 | 🔄휴식회귀
  1118 | 2024-05-04 |        15 | ✨최약끝수
  1118 | 2024-05-04 |        45 | ✨최약끝수
  1117 | 2024-04-27 |         3 | 🎯보너스추적, 🔄휴식회귀
  1117 | 2024-04-27 |        30 | 🔁이월수
  1116 | 2024-04-20 |        15 | ✨최약끝수
  1116 | 2024-04-20 |        25 | ✨최약끝수
  1115 | 2024-04-13 |         7 | 🔄휴식회귀
  1115 | 2024-04-13 |        12 | 🔄휴식회귀
  1115 | 2024-04-13 |        32 | 🔁이월수
  1114 | 2024-04-06 |        32 | 🔁이월수
  1113 | 2024-03-30 |        20 | 🔁이월수
  1113 | 2024-03-30 |        44 | 🔁이월수
  1111 | 2024-03-16 |         3 | 🔁이월수
  1111 | 2024-03-16 |        43 | 🔄휴식회귀
  1111 | 2024-03-16 |        45 | ✨최약끝수
  1109 | 2024-03-02 |        12 | 🔄휴식회귀
  1109 | 2024-03-02 |        19 | 🔁이월수
  1107 | 2024-02-17 |        14 | 🔄휴식회귀
  1106 | 2024-02-10 |        45 | ✨최약끝수
  1104 | 2024-01-27 |        21 | 🔄휴식회귀
  1104 | 2024-01-27 |        35 | ✨최약끝수
  1103 | 2024-01-20 |        12 | 🎯보너스추적, 🔄휴식회귀
  1102 | 2024-01-13 |        13 | 🔁이월수
  1102 | 2024-01-13 |        14 | 🔄휴식회귀
  1102 | 2024-01-13 |        22 | 🔄휴식회귀
  1101 | 2024-01-06 |         7 | 🔄휴식회귀
  1100 | 2023-12-30 |        43 | 🔁이월수
  1099 | 2023-12-23 |        43 | 🔁이월수
  1098 | 2023-12-16 |        12 | 🎯보너스추적
  1098 | 2023-12-16 |        21 | 🔄휴식회귀
  1098 | 2023-12-16 |        41 | 🚀미출현폭탄
  1097 | 2023-12-09 |        34 | 🎯보너스추적
  1097 | 2023-12-09 |        35 | ✨최약끝수
  1096 | 2023-12-02 |        12 | 🎯보너스추적
  1095 | 2023-11-25 |        29 | ✨최약끝수
  1095 | 2023-11-25 |        40 | 🔁이월수
  1094 | 2023-11-18 |        22 | 🔁이월수
  1092 | 2023-11-04 |        19 | ✨최약끝수
  1090 | 2023-10-21 |        19 | 🚀미출현폭탄, ✨최약끝수
  1090 | 2023-10-21 |        29 | ✨최약끝수
  1090 | 2023-10-21 |        40 | 🎯보너스추적
  1089 | 2023-10-14 |        31 | 🎯보너스추적
  1089 | 2023-10-14 |        37 | 🎯보너스추적
  1088 | 2023-10-07 |        21 | 🔁이월수
  1088 | 2023-10-07 |        39 | 🚀미출현폭탄, ✨최약끝수
  1088 | 2023-10-07 |        44 | 🔁이월수
  1086 | 2023-09-23 |        25 | 🚀미출현폭탄, ✨최약끝수
  1086 | 2023-09-23 |        35 | ✨최약끝수
  1086 | 2023-09-23 |        36 | 🎯보너스추적
  1085 | 2023-09-16 |        17 | 🎯보너스추적
  1085 | 2023-09-16 |        18 | 🔄휴식회귀
  1084 | 2023-09-09 |        12 | 🚀미출현폭탄
  1084 | 2023-09-09 |        29 | ✨최약끝수
  1083 | 2023-09-02 |         3 | 🔄휴식회귀
  1083 | 2023-09-02 |        15 | 🚀미출현폭탄, ✨최약끝수
  1083 | 2023-09-02 |        38 | 🎯보너스추적
  1082 | 2023-08-26 |        27 | ✨최약끝수
  1082 | 2023-08-26 |        32 | 🔄휴식회귀
  1081 | 2023-08-19 |         9 | ✨최약끝수
  1081 | 2023-08-19 |        16 | 🔁이월수
  1081 | 2023-08-19 |        23 | 🔁이월수
  1081 | 2023-08-19 |        38 | 🎯보너스추적
  1080 | 2023-08-12 |        13 | 🚀미출현폭탄
  1080 | 2023-08-12 |        23 | 🔄휴식회귀
  1079 | 2023-08-05 |        18 | 🔄휴식회귀
  1078 | 2023-07-29 |        10 | 🎯보너스추적
  1076 | 2023-07-15 |         3 | 🔄휴식회귀
  1076 | 2023-07-15 |         9 | ✨최약끝수
  1075 | 2023-07-08 |         1 | 🔁이월수
  1075 | 2023-07-08 |        45 | 🔄휴식회귀
  1074 | 2023-07-01 |         6 | 🔁이월수
  1074 | 2023-07-01 |        27 | 🎯보너스추적
  1074 | 2023-07-01 |        28 | 🔁이월수
  1073 | 2023-06-24 |        18 | 🔁이월수
  1073 | 2023-06-24 |        32 | 🔁이월수
  1072 | 2023-06-17 |        23 | 🔄휴식회귀
  1072 | 2023-06-17 |        32 | 🔄휴식회귀
  1071 | 2023-06-10 |         2 | 🚀미출현폭탄
  1071 | 2023-06-10 |        30 | 🔁이월수
  1070 | 2023-06-03 |         3 | 🎯보너스추적, 🔄휴식회귀
  1070 | 2023-06-03 |        22 | 🔁이월수
  1069 | 2023-05-27 |         1 | 🚀미출현폭탄, ✨최약끝수
  1069 | 2023-05-27 |        18 | 🎯보너스추적
  1069 | 2023-05-27 |        22 | 🔄휴식회귀
  1069 | 2023-05-27 |        31 | ✨최약끝수
  1068 | 2023-05-20 |         7 | 🔁이월수
  1068 | 2023-05-20 |        19 | 🔁이월수, ✨최약끝수
  1068 | 2023-05-20 |        33 | 🔁이월수
  1067 | 2023-05-13 |        19 | 🔁이월수, ✨최약끝수
  1066 | 2023-05-06 |        11 | ✨최약끝수
  1066 | 2023-05-06 |        19 | 🔁이월수
  1066 | 2023-05-06 |        21 | ✨최약끝수
  1066 | 2023-05-06 |        32 | 🔁이월수
  1065 | 2023-04-29 |         3 | 🔁이월수
  1065 | 2023-04-29 |        18 | 🔁이월수, ✨최약끝수
  1064 | 2023-04-22 |         3 | 🔁이월수
  1064 | 2023-04-22 |         6 | 🔁이월수
  1064 | 2023-04-22 |         9 | 🚀미출현폭탄, ✨최약끝수
  1064 | 2023-04-22 |        18 | 🚀미출현폭탄
  1064 | 2023-04-22 |        22 | 🔁이월수
  1063 | 2023-04-15 |        38 | ✨최약끝수
  1062 | 2023-04-08 |        45 | 🔁이월수
  1061 | 2023-04-01 |        24 | 🔁이월수
  1061 | 2023-04-01 |        27 | 🎯보너스추적
  1061 | 2023-04-01 |        45 | 🔁이월수
  1060 | 2023-03-25 |        10 | 🔁이월수
  1060 | 2023-03-25 |        38 | ✨최약끝수
  1059 | 2023-03-18 |        10 | 🚀미출현폭탄
  1059 | 2023-03-18 |        25 | 🔁이월수
  1059 | 2023-03-18 |        40 | 🔁이월수
  1058 | 2023-03-11 |        40 | 🔁이월수
  1057 | 2023-03-04 |         8 | ✨최약끝수
  1057 | 2023-03-04 |        13 | 🔁이월수
  1057 | 2023-03-04 |        45 | 🔁이월수
  1055 | 2023-02-18 |         4 | 🚀미출현폭탄
  1055 | 2023-02-18 |        12 | 🔄휴식회귀
  1055 | 2023-02-18 |        14 | 🔁이월수
  1055 | 2023-02-18 |        33 | 🎯보너스추적
  1054 | 2023-02-11 |        14 | 🔄휴식회귀
  1054 | 2023-02-11 |        28 | ✨최약끝수
  1054 | 2023-02-11 |        30 | 🔁이월수
  1054 | 2023-02-11 |        45 | 🔁이월수
  1053 | 2023-02-04 |        26 | 🔁이월수
  1052 | 2023-01-28 |        17 | 🎯보너스추적
  1052 | 2023-01-28 |        26 | 🔁이월수
  1052 | 2023-01-28 |        35 | 🔁이월수
  1052 | 2023-01-28 |        38 | ✨최약끝수
  1051 | 2023-01-21 |        30 | 🎯보너스추적, 🚀미출현폭탄
  1051 | 2023-01-21 |        32 | 🎯보너스추적
  1051 | 2023-01-21 |        35 | 🔁이월수
  1050 | 2023-01-14 |        38 | ✨최약끝수
  1049 | 2023-01-07 |         5 | 🔄휴식회귀
  1049 | 2023-01-07 |        13 | 🚀미출현폭탄
  1049 | 2023-01-07 |        21 | 🔁이월수
  1048 | 2022-12-31 |        32 | 🎯보너스추적, 🔄휴식회귀
  1047 | 2022-12-24 |         2 | 🔄휴식회귀
  1047 | 2022-12-24 |        20 | ✨최약끝수
  1047 | 2022-12-24 |        40 | ✨최약끝수
  1046 | 2022-12-17 |        25 | 🚀미출현폭탄
  1046 | 2022-12-17 |        35 | 🔄휴식회귀
  1045 | 2022-12-10 |        19 | 🎯보너스추적
  1045 | 2022-12-10 |        21 | 🚀미출현폭탄
  1044 | 2022-12-03 |        12 | 🔁이월수
  1044 | 2022-12-03 |        20 | ✨최약끝수
  1044 | 2022-12-03 |        26 | 🔁이월수
  1043 | 2022-11-26 |         5 | 🔁이월수
  1043 | 2022-11-26 |        12 | 🔄휴식회귀
  1042 | 2022-11-19 |         5 | 🔄휴식회귀
  1042 | 2022-11-19 |        23 | 🚀미출현폭탄
  1041 | 2022-11-12 |        11 | 🎯보너스추적
  1040 | 2022-11-05 |        26 | 🎯보너스추적
  1040 | 2022-11-05 |        29 | 🔄휴식회귀
  1040 | 2022-11-05 |        31 | 🎯보너스추적
  1040 | 2022-11-05 |        36 | 🔁이월수
  1039 | 2022-10-29 |         2 | 🎯보너스추적
  1039 | 2022-10-29 |        39 | 🎯보너스추적
  1038 | 2022-10-22 |        27 | 🔁이월수
  1037 | 2022-10-15 |         2 | 🎯보너스추적, 🔁이월수
  1037 | 2022-10-15 |        22 | 🔁이월수
  1036 | 2022-10-08 |         2 | 🎯보너스추적
  1036 | 2022-10-08 |         5 | 🔄휴식회귀
  1036 | 2022-10-08 |        34 | 🔁이월수
  1036 | 2022-10-08 |        45 | 🔄휴식회귀
  1034 | 2022-09-24 |        40 | ✨최약끝수
  1033 | 2022-09-17 |        20 | ✨최약끝수
  1032 | 2022-09-10 |         6 | 🔁이월수
  1032 | 2022-09-10 |        19 | 🎯보너스추적
  1032 | 2022-09-10 |        36 | 🔁이월수
  1030 | 2022-08-27 |         2 | 🚀미출현폭탄
  1030 | 2022-08-27 |         5 | 🎯보너스추적
  1030 | 2022-08-27 |        24 | 🎯보너스추적
  1030 | 2022-08-27 |        29 | 🔄휴식회귀
  1029 | 2022-08-20 |        12 | 🔁이월수
  1029 | 2022-08-20 |        30 | ✨최약끝수
  1028 | 2022-08-13 |         5 | 🎯보너스추적
  1028 | 2022-08-13 |         7 | 🎯보너스추적, 🚀미출현폭탄, ✨최약끝수
  1028 | 2022-08-13 |        35 | 🔁이월수
  1027 | 2022-08-06 |        27 | ✨최약끝수
  1027 | 2022-08-06 |        45 | 🔄휴식회귀
  1026 | 2022-07-30 |        12 | 🔄휴식회귀
  1026 | 2022-07-30 |        32 | 🚀미출현폭탄
  1025 | 2022-07-23 |         9 | 🔁이월수
  1025 | 2022-07-23 |        20 | 🔁이월수, ✨최약끝수
  1025 | 2022-07-23 |        25 | 🎯보너스추적
  1024 | 2022-07-16 |        18 | 🔁이월수
  1024 | 2022-07-16 |        20 | ✨최약끝수
  1023 | 2022-07-09 |        10 | 🚀미출현폭탄, ✨최약끝수
  1023 | 2022-07-09 |        16 | 🎯보너스추적
  1023 | 2022-07-09 |        18 | 🔄휴식회귀
  1023 | 2022-07-09 |        29 | 🔁이월수
  1022 | 2022-07-02 |         6 | 🎯보너스추적, 🚀미출현폭탄
  1022 | 2022-07-02 |        11 | 🔄휴식회귀
  1022 | 2022-07-02 |        29 | 🔁이월수
  1022 | 2022-07-02 |        45 | 🔁이월수
  1021 | 2022-06-25 |        12 | 🔁이월수
  1021 | 2022-06-25 |        15 | 🔄휴식회귀
  1021 | 2022-06-25 |        29 | 🔁이월수
  1021 | 2022-06-25 |        45 | 🔁이월수
  1019 | 2022-06-11 |         4 | 🚀미출현폭탄
  1018 | 2022-06-04 |        21 | 🎯보너스추적
  1018 | 2022-06-04 |        45 | 🔄휴식회귀
  1017 | 2022-05-28 |        30 | ✨최약끝수
  1017 | 2022-05-28 |        34 | 🔁이월수
